Node,Latitude,Longitude,Section,Feeder
SS,34.803331,134.817406,,
HN827520054,34.82577,134.81479,7,25
HN827520087,34.82999,134.82123,8,25
HN827520088,34.83008,134.82158,8,25
HN828010001,34.82459,134.8218,8,25
HN828010002,34.82495,134.82178,8,25
HN828010003,34.8253,134.82186,8,25
HN828010004,34.82562,134.82208,8,25
HN828010005,34.82593,134.82227,8,25
HN828010006,34.82629,134.82225,8,25
HN828010007,34.82671,134.82216,8,25
HN828010008,34.82707,134.82208,8,25
HN828010009,34.82739,134.82204,8,25
HN828010010,34.82777,134.82199,8,25
HN828010011,34.82815,134.82193,8,25
HN828010012,34.82851,134.82203,8,25
HN828010013,34.82884,134.82197,8,25
HN828010014,34.8292,134.82193,8,25
HN828010015,34.82956,134.82179,8,25
HN828010016,34.82998,134.82179,8,25
HN828010018,34.83054,134.82165,8,25
HN828010019,34.83106,134.82174,8,25
HN828010020,34.83133,134.82184,8,25
HN828010020W01    ,34.83131,134.82121,8,25
HN828010020W02    ,34.83153,134.82075,8,25
HN828010020W03    ,34.83179,134.82053,8,25
HN828010021,34.83154,134.82227,8,25
HN828010022,34.83174,134.82275,8,25
HN828010022S01    ,34.83166,134.82278,8,25
HN828010023,34.83181,134.82318,8,25
HN828010023G01    ,34.83199,134.82341,8,25
HN828010025,34.83241,134.82384,8,25
HN828010025W01    ,34.83252,134.82377,8,25
HN828010025W02    ,34.83288,134.8236,8,25
HN828010025W03    ,34.8333,134.82346,8,25
HN828010026,34.83256,134.82404,8,25
HN828010027,34.83272,134.82439,8,25
HN828010027G01    ,34.83268,134.82451,8,25
HN828010028,34.83283,134.82488,8,25
HN828010028E01    ,34.83266,134.82511,8,25
HN828010028E02    ,34.83245,134.82542,8,25
HN828010028N01    ,34.83296,134.82521,8,25
HN828010028N02    ,34.8331,134.82577,8,25
HN828010028N03    ,34.83312,134.82609,8,25
HN828010028N04    ,34.83317,134.82648,8,25
HN828010028G01    ,34.83277,134.82496,8,25
HN828010029,34.83327,134.82454,8,25
HN828010029S01    ,34.83316,134.82426,8,25
HN828010029S02    ,34.83301,134.82389,8,25
HN828010029N01    ,34.83372,134.82435,8,25
HN828010029G01    ,34.83346,134.82446,8,25
HN828010035,34.83495,134.82666,8,25
HN828010017,34.8303,134.82178,8,25
HN828010028N05    ,34.83317,134.82675,8,25
HN828010030,34.83341,134.82496,8,25
HN828010030N01    ,34.83367,134.82483,8,25
HN828010030N02    ,34.83394,134.82471,8,25
HN828010031,34.83362,134.82543,8,25
HN828010032,34.83398,134.82574,8,25
HN828010033,34.83439,134.82615,8,25
HN828010034,34.83474,134.82641,8,25
HN828150001,34.78721,134.85651,7,26
HN828150002,34.78767,134.8565,7,26
HN828150003,34.78813,134.85658,7,26
HN828150003N01    ,34.78839,134.85656,7,26
HN828150004,34.78835,134.85608,7,26
HN828150005,34.78873,134.85609,7,26
HN828150005N01    ,34.78893,134.85628,7,26
HN828150005N02    ,34.78895,134.85671,7,26
HN828150005N03    ,34.78901,134.85709,7,26
HN828150005N04    ,34.78913,134.85704,7,26
HN828150005N05    ,34.78942,134.85728,7,26
HN828150006,34.78878,134.85552,7,26
HN828150006G01    ,34.78902,134.85519,7,26
HN828150008,34.78943,134.85461,7,26
HN828150009,34.78966,134.85438,7,26
HN828150009E01    ,34.7896,134.85474,7,26
HN828150009E02    ,34.78951,134.85533,7,26
HN828150009G01    ,34.78971,134.85419,7,26
HN828150009G01S1  ,34.78976,134.85387,7,26
HN828150009G01S2  ,34.78948,134.85377,7,26
HN828150009G01S3  ,34.78931,134.85393,7,26
HN828150009G01S4  ,34.7893,134.85421,7,26
HN828150009G01S5  ,34.78911,134.85446,7,26
HN828150009G02    ,34.78994,134.85384,7,26
HN828150010,34.79005,134.85371,7,26
HN828150010G01    ,34.79018,134.85344,7,26
HN828150011,34.79038,134.85308,7,26
