type,Node,Name,Csid,Cgrid,Cap,CgrNum
F,HN825000010,CS825000010,90000000,0,250,1
F,HN824220003S01W1,CS824220003S01W1,90000200,0,250,1
F,HN828390035W06G1,CS828390035W06G1,90000400,0,250,1
F,HN821340004N01N5W7,CS821340004N01N5W7,90000600,0,250,1
F,HN821340008N02,CS821340008N02,90000800,0,250,1
F,HN829140046E01,CS829140046E01,90001000,0,250,1
F,HN824100062,CS824100062,90001200,0,250,1
F,HN828220012N05,CS828220012N05,90001400,0,250,1
F,HN821211019,CS821211019,90001600,0,250,1
F,HN828320059W17E8,CS828320059W17E8,90001800,0,250,1
N,HN824100014N05E4,CS824100014N05E4,3001,0,5,200
N,HN824400015,CS824400015,3002,0,5,200
N,HN825000014,CS825000014,3003,0,5,200
N,HN828160017S07E1,CS828160017S07E1,3004,0,5,200
N,HN825000004E01,CS825000004E01,3005,0,5,200
N,HN825080007,CS825080007,3006,0,5,200
N,HN825080019,CS825080019,3007,0,5,200
N,HN824100004,CS824100004,3008,0,5,200
N,HN825080028,CS825080028,3009,0,5,200
N,HN824100014,CS824100014,3010,0,5,200
N,HN824100023,CS824100023,3011,0,5,200
N,HN820690004,CS820690004,3012,0,5,200
N,HN828390015W01,CS828390015W01,3013,0,5,200
N,HN826230019E01,CS826230019E01,3014,0,5,200
N,HN828390021,CS828390021,3015,0,5,200
N,HN828390034,CS828390034,3016,0,5,200
N,HN824220010,CS824220010,3017,0,5,200
N,HN821340004,CS821340004,3018,0,5,200
N,HN822390001,CS822390001,3019,0,5,200
N,HN825190016,CS825190016,3020,0,5,200
N,HN829140038,CS829140038,3021,0,5,200
N,HN829140061,CS829140061,3022,0,5,200
N,HN824100046,CS824100046,3023,0,5,200
N,HN828160052,CS828160052,3024,0,5,200
N,HN828160045,CS828160045,3025,0,5,200
N,HN824100084,CS824100084,3026,0,5,200
N,HN827170005,CS827170005,3027,0,5,200
N,HN827170014N06,CS827170014N06,3028,0,5,200
N,HN825090032S10W9,CS825090032S10W9,3029,0,5,200
N,HN828220015,CS828220015,3030,0,5,200
N,HN825080080,CS825080080,3031,0,5,200
N,HN825080073,CS825080073,3032,0,5,200
N,HN829650001,CS829650001,3033,0,5,200
N,HN828320054,CS828320054,3034,0,5,200
N,HN824160022,CS824160022,3035,0,5,200
N,HN821211001,CS821211001,3036,0,5,200
N,HN829020031,CS829020031,3037,0,5,200
N,HN822110050,CS822110050,3038,0,5,200
N,HN822110043,CS822110043,3039,0,5,200
N,HN822110032,CS822110032,3040,0,5,200
N,HN828320059W11,CS828320059W11,3041,0,5,200
N,HN828320059,CS828320059,3042,0,5,200
