Node,Latitude,Longitude,Section,Feeder
hn828160014s02,34.82505,134.83649,5,21.0
hn828160014s02e1,34.82461,134.83666,5,21.0
hn828160014s02e2,34.82468,134.83713,5,21.0
hn828160014s03,34.82474,134.83627,5,21.0
hn828160014s04,34.82435,134.83606,5,21.0
hn828160014s05,34.82398,134.83585,5,21.0
hn828160014s05e1,34.82363,134.83572,5,21.0
hn828160014s05e2,34.82371,134.83611,5,21.0
hn828160014s05e3,34.82375,134.83653,5,21.0
hn828160014s05e4,34.82377,134.83694,5,21.0
hn828160014s05e4s1,34.82362,134.83703,5,21.0
hn828160014s05e4s2,34.82321,134.83707,5,21.0
hn828160014s05e4s4,34.82269,134.83713,5,21.0
hn828160014s05e4s5,34.8224,134.83717,5,21.0
hn828160014s05e4s6,34.82217,134.83713,5,21.0
hn828160014s05e4n1,34.8241,134.83678,5,21.0
hn828160014s05e5,34.82375,134.83737,5,21.0
hn828160014s05e6,34.82371,134.83781,5,21.0
hn828160014s05e6s1,34.82361,134.83806,5,21.0
hn828160014s05e7,34.82368,134.83825,5,21.0
hn828160014s05e8,34.8237,134.83874,5,21.0
hn828160014s05e9,34.8237,134.83902,5,21.0
hn828160014s05w1,34.82356,134.83542,5,21.0
hn828160014s05g1,34.82373,134.83571,5,21.0
hn828160014s06,34.82336,134.8355,5,21.0
hn828160014s07,34.82301,134.8353,5,21.0
hn828160014s08,34.8227,134.83512,5,21.0
hn828160014s08g1,34.82239,134.83498,5,21.0
hn828160015n01,34.82599,134.83668,5,21.0
hn828160015n02,34.82641,134.83663,5,21.0
hn828160015g01,34.82521,134.83668,5,21.0
hn828160015g02,34.82539,134.83689,5,21.0
hn828160015g02n1,34.82567,134.83678,5,21.0
hn828160016,34.82551,134.83705,5,21.0
hn828160017,34.82561,134.83747,5,21.0
hn828160017s02,34.82481,134.83767,5,21.0
hn828160017s02g1,34.82488,134.83785,5,21.0
hn828160017s03,34.8248,134.83827,5,21.0
hn828160017s04,34.82452,134.83829,5,21.0
hn828160017s05,34.82429,134.83848,5,21.0
hn828160017s05g1,34.82415,134.83888,5,21.0
hn828160017s05g2,34.82394,134.83932,5,21.0
hn828160017s07,34.82367,134.83929,5,21.0
hn828160017s07e1,34.82391,134.83975,5,21.0
hn828160017s07e1e1,34.82384,134.8402,5,21.0
hn828160017s07e1e2,34.82374,134.84045,5,21.0
hn828160017s07e1e3,34.82361,134.84069,5,21.0
hn828160017s07e1e4,34.82377,134.84076,5,21.0
hn828160017s07e1e5,34.82394,134.84128,5,21.0
hn828160017s08,34.82312,134.83998,5,21.0
hn828160017s08n1,34.82333,134.84002,5,21.0
hn828160017s09,34.82305,134.84028,5,21.0
hn828160017n01,34.82601,134.83744,5,21.0
hn828160017n01e1,34.82628,134.83769,5,21.0
hn828160017n01e2,34.82649,134.838,5,21.0
hn828160017n03,34.82678,134.83723,5,21.0
hn828160017n04,34.82712,134.83741,5,21.0
hn828160017n04g1,34.82736,134.83755,5,21.0
hn828160017n05,34.82762,134.83766,5,21.0
hn828160017n06,34.82803,134.83768,5,21.0
hn828160017n07,34.82831,134.83773,5,21.0
hn828160017n08,34.82867,134.8378,5,21.0
hn828160017g01,34.82579,134.83729,5,21.0
hn828160018,34.82579,134.83803,5,21.0
hn828160019,34.82575,134.83847,5,21.0
hn828160022,34.82593,134.83954,5,21.0
hn828160022n01,34.82616,134.83943,5,21.0
hn828160022n02,34.82646,134.83928,5,21.0
hn828160022n03,34.82678,134.83911,5,21.0
hn828160022n04,34.82705,134.83898,5,21.0
hn828160022n05,34.82742,134.83881,5,21.0
hn828160022n06,34.82771,134.83869,5,21.0
hn828160022n07,34.82807,134.83865,5,21.0
hn828160022n08,34.82847,134.83861,5,21.0
hn828160023,34.82551,134.83975,5,21.0
hn828160024,34.82512,134.83994,5,21.0
hn828160024s01,34.82466,134.8402,5,21.0
hn828160024s02,34.82425,134.84039,5,21.0
